ID	Name	Matches	Gibbs-0	
1.1.1.8-RXN	<i>sn</i>-glycerol 3-phosphate + NAD<sup>+</sup>  &larr;  glycerone phosphate + NADH + H<SUP>+</SUP>	PWY-6118	4.1518555	
RXN-15745	<i>sn</i>-glycerol 3-phosphate<SUB>[in]</SUB> + an electron-transfer quinone<SUB>[membrane]</SUB>  &rarr;  glycerone phosphate<SUB>[in]</SUB> + an electron-transfer quinol<SUB>[membrane]</SUB>	PWY-6118	12.54776	
RXN-12383	2 a 1,2-diacyl-<i>sn</i>-glycerol  &harr;  a triacyl-<i>sn</i>-glycerol + a 2-acylglycerol	TRIGLSYN-PWY	0.0	
PHOSPHATIDATE-PHOSPHATASE-RXN	a 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate + H<sub>2</sub>O  &rarr;  a 1,2-diacyl-<i>sn</i>-glycerol + phosphate	TRIGLSYN-PWY	-3.0541382	
RXN-1381	a long-chain acyl-CoA + <i>sn</i>-glycerol 3-phosphate  &rarr;  a 1-acyl-<i>sn</i>-glycerol 3-phosphate + coenzyme A	TRIGLSYN-PWY	253.16797	
RXN-1623	a long-chain acyl-CoA + a 1-acyl-<i>sn</i>-glycerol 3-phosphate  &rarr;  a 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate + coenzyme A	TRIGLSYN-PWY	325.0658	
RXN-1641	a phosphatidylcholine + a 1,2-diacyl-<i>sn</i>-glycerol  &rarr;  a triacyl-<i>sn</i>-glycerol + a 1-acyl-<i>sn</i>-glycero-3-phosphocholine	TRIGLSYN-PWY	0.0	
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	an acyl-CoA + a 1,2-diacyl-<i>sn</i>-glycerol  &rarr;  a triacyl-<i>sn</i>-glycerol + coenzyme A	TRIGLSYN-PWY	325.0658	
RXN-12959	CTP + a 1,2-diacyl-<i>sn</i>-glycerol  &rarr;  CDP + a 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate + H<SUP>+</SUP>	TRIGLSYN-PWY	-99.53473	
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	2 3-phospho-D-glycerate + 2 H<SUP>+</SUP>  &larr;  D-ribulose-1,5-bisphosphate + CO<SUB>2</SUB> + H<sub>2</sub>O	CALVIN-PWY, PWY-5723	4.1412964	
PHOSPHORIBULOKINASE-RXN	D-ribulose 5-phosphate + ATP  &rarr;  D-ribulose-1,5-bisphosphate + ADP + H<SUP>+</SUP>	CALVIN-PWY, PWY-5723	-17.312378	
2TRANSKETO-RXN	D-erythrose 4-phosphate + D-xylulose 5-phosphate  &harr;  &beta;-D-fructofuranose 6-phosphate + D-glyceraldehyde 3-phosphate	CALVIN-PWY, PENTOSE-P-PWY, PWY-5723	3.959961	
RIB5PISOM-RXN	D-ribose 5-phosphate  &harr;  D-ribulose 5-phosphate	CALVIN-PWY, PENTOSE-P-PWY, PWY-5723	-6.130005	
RIBULP3EPIM-RXN	D-ribulose 5-phosphate  &harr;  D-xylulose 5-phosphate	CALVIN-PWY, PENTOSE-P-PWY, PWY-5723	0.0	
1TRANSKETO-RXN	D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  &harr;  D-ribose 5-phosphate + D-xylulose 5-phosphate	CALVIN-PWY, PENTOSE-P-PWY, PWY-5723	1.2300415	
PHOSGLYPHOS-RXN	3-phospho-D-glycerate + ATP  &harr;  3-phospho-D-glyceroyl-phosphate + ADP	CALVIN-PWY, GLYCOLYSIS	-7.51001	
TRIOSEPISOMERIZATION-RXN	D-glyceraldehyde 3-phosphate  &harr;  glycerone phosphate	CALVIN-PWY, GLYCOLYSIS	-1.8299866	
F16ALDOLASE-RXN	fructose 1,6-bisphosphate  &harr;  glycerone phosphate + D-glyceraldehyde 3-phosphate	CALVIN-PWY, GLYCOLYSIS	8.226501	
F16BDEPHOS-RXN	fructose 1,6-bisphosphate + H<sub>2</sub>O  &rarr;  &beta;-D-fructofuranose 6-phosphate + phosphate	CALVIN-PWY, GLYCOLYSIS	6.8935547	
1.2.1.13-RXN	D-glyceraldehyde 3-phosphate + NADP<sup>+</sup> + phosphate  &larr;  3-phospho-D-glyceroyl-phosphate + NADPH + H<SUP>+</SUP>	CALVIN-PWY	-16.442871	
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	D-sedoheptulose-1,7-bisphosphate + H<sub>2</sub>O  &rarr;  D-sedoheptulose 7-phosphate + phosphate	CALVIN-PWY	9.713501	
SEDOBISALDOL-RXN	glycerone phosphate + D-erythrose 4-phosphate  &rarr;  D-sedoheptulose-1,7-bisphosphate	CALVIN-PWY	-8.126587	
